                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1095,                 1.8379,                 1.3135,                0.96057,                0.36364,                0.44821,                0.35816,                 1.0897,                 2.3735,                 1.3425,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.0497,                 1.2299,                  1.232,                0.63174,                0.36364,                 0.4026,                 0.2533,                 1.3232,                 2.1772,                 1.5773,               0.001291,               0.001291,               0.001291
                      3,                 1.0137,                 1.0899,                 1.1836,                 0.6548,                0.81818,                0.71993,                0.47218,                  1.307,                 1.6413,                 1.5894,              0.0019052,              0.0019052,              0.0019052
                      4,                 1.0029,                 1.0704,                 1.2101,                0.74157,                0.72727,                0.81223,                0.56877,                 1.2522,                 1.8734,                 1.4197,              0.0018812,              0.0018812,              0.0018812
                      5,                0.92539,                0.96041,                 1.1728,                      1,                0.62939,                0.74107,                0.49442,                 1.2308,                 1.4367,                 1.4683,              0.0018812,              0.0018812,              0.0018812
                      6,                0.92161,                0.91433,                 1.1555,                0.79966,                0.72586,                0.79094,                 0.5753,                0.98784,                 1.2142,                 1.2335,              0.0018416,              0.0018416,              0.0018416
                      7,                0.86625,                0.85772,                  1.135,                 0.9097,                0.72727,                0.78698,                0.53647,                 1.3553,                 1.1685,                 1.7766,               0.001802,               0.001802,               0.001802
                      8,                0.84004,                0.80837,                 1.1021,                0.87109,                0.72727,                0.78843,                0.57001,                 1.1153,                  1.164,                 1.5013,              0.0017624,              0.0017624,              0.0017624
                      9,                0.80932,                0.76355,                 1.0981,                0.88505,                0.70215,                0.78357,                0.55851,                 1.2235,                 1.1238,                 1.8284,              0.0017228,              0.0017228,              0.0017228
                     10,                0.77764,                0.72868,                 1.0751,                0.89478,                0.81818,                0.84725,                0.64585,                0.98598,                0.74565,                 1.3623,              0.0016832,              0.0016832,              0.0016832
                     11,                0.79539,                0.73075,                 1.0822,                 0.8419,                0.90909,                0.88099,                0.57895,                 1.1184,                 1.1153,                 1.3804,              0.0016436,              0.0016436,              0.0016436
                     12,                0.75609,                0.67719,                 1.0606,                0.89996,                0.81784,                0.86437,                  0.612,                0.95915,                0.73051,                 1.2434,               0.001604,               0.001604,               0.001604
                     13,                0.72836,                0.65031,                 1.0353,                0.81646,                0.80957,                0.81991,                0.58835,                 1.0678,                0.69974,                 1.3659,              0.0015644,              0.0015644,              0.0015644
                     14,                0.70333,                0.61297,                 1.0361,                0.98387,                0.81818,                0.89759,                0.65926,                 1.0353,                0.66553,                 1.3805,              0.0015248,              0.0015248,              0.0015248
                     15,                0.72851,                0.63125,                  1.043,                      1,                0.80875,                0.88987,                 0.6722,                0.86957,                0.63148,                 1.1549,              0.0014852,              0.0014852,              0.0014852
                     16,                0.69477,                0.60382,                 1.0348,                      1,                0.88052,                0.90736,                0.71026,                0.94229,                0.57766,                 1.3496,              0.0014456,              0.0014456,              0.0014456
                     17,                0.67288,                0.58055,                  1.019,                      1,                0.81261,                0.90232,                0.66812,                0.97468,                0.64783,                 1.2451,               0.001406,               0.001406,               0.001406
                     18,                0.65817,                0.57337,                 1.0116,                0.79752,                0.71713,                0.72122,                0.57684,                 1.0524,                0.80485,                 1.3865,              0.0013664,              0.0013664,              0.0013664
                     19,                0.65255,                0.55434,                  1.005,                 0.8996,                0.81492,                0.83919,                0.59085,                 1.0473,                0.67872,                 1.3117,              0.0013268,              0.0013268,              0.0013268
                     20,                0.63234,                0.53881,                 1.0075,                      1,                0.89852,                0.92047,                0.70351,                0.85971,                0.62639,                 1.1314,              0.0012872,              0.0012872,              0.0012872
                     21,                0.62906,                0.53188,                 1.0003,                0.74635,                 0.8036,                0.83952,                0.56809,                 1.1123,                0.93762,                  1.317,              0.0012476,              0.0012476,              0.0012476
                     22,                0.60674,                  0.526,                 0.9955,                0.82709,                0.90909,                0.88363,                0.72452,                0.87746,                0.54863,                 1.2455,               0.001208,               0.001208,               0.001208
                     23,                 0.6116,                0.50347,                0.99267,                0.98783,                0.81818,                0.90078,                0.69677,                0.98314,                0.55302,                 1.2353,              0.0011684,              0.0011684,              0.0011684
                     24,                0.60104,                0.50088,                0.97819,                      1,                0.90697,                0.92606,                0.69653,                0.86834,                 0.4837,                 1.1842,              0.0011288,              0.0011288,              0.0011288
                     25,                0.58938,                0.49455,                0.97718,                0.89447,                0.90909,                0.90795,                0.68133,                0.92755,                0.55851,                 1.1587,              0.0010892,              0.0010892,              0.0010892
                     26,                 0.5714,                0.48414,                0.98015,                0.90873,                0.90551,                0.90101,                 0.6889,                0.87634,                0.65394,                 1.2391,              0.0010496,              0.0010496,              0.0010496
                     27,                0.57516,                0.47378,                0.97472,                0.98216,                0.90909,                0.92268,                0.72879,                0.88612,                0.51867,                 1.1902,                0.00101,                0.00101,                0.00101
                     28,                0.55623,                0.46049,                0.96326,                      1,                  0.908,                  0.938,                0.75671,                 0.8355,                0.44071,                 1.0817,              0.0009704,              0.0009704,              0.0009704
                     29,                0.54806,                0.45677,                0.96797,                  0.987,                0.90909,                0.92857,                 0.6879,                0.90564,                0.50095,                 1.2295,              0.0009308,              0.0009308,              0.0009308
                     30,                0.52661,                0.42983,                0.95568,                0.88682,                0.90909,                0.90271,                0.66806,                0.96413,                0.57673,                 1.2813,              0.0008912,              0.0008912,              0.0008912
                     31,                0.52877,                0.43609,                0.95625,                0.89828,                0.90909,                0.93096,                0.70758,                0.82887,                 0.5729,                 1.1524,              0.0008516,              0.0008516,              0.0008516
                     32,                0.51134,                0.42095,                0.93828,                0.90354,                0.90909,                0.90535,                0.74965,                0.79728,                0.53129,                  1.177,               0.000812,               0.000812,               0.000812
                     33,                0.50744,                 0.4158,                0.94182,                0.92997,                0.90909,                0.92123,                0.72645,                 0.8264,                0.49864,                 1.1773,              0.0007724,              0.0007724,              0.0007724
                     34,                0.50045,                0.41084,                0.93758,                0.98987,                0.81818,                0.83876,                0.68004,                0.87959,                0.54549,                 1.1599,              0.0007328,              0.0007328,              0.0007328
                     35,                0.49869,                0.40744,                0.93989,                0.98847,                0.90909,                0.94308,                0.65393,                0.98577,                0.54983,                  1.376,              0.0006932,              0.0006932,              0.0006932
                     36,                0.48491,                0.40273,                0.93798,                0.89642,                0.78886,                0.85723,                0.62047,                 1.1184,                0.68195,                 1.4307,              0.0006536,              0.0006536,              0.0006536
                     37,                0.47941,                0.38789,                0.92869,                0.97949,                0.90909,                0.91127,                0.71716,                0.89368,                0.54914,                 1.2356,               0.000614,               0.000614,               0.000614
                     38,                0.46926,                0.39364,                0.92858,                      1,                0.89566,                 0.9101,                0.70095,                0.98231,                0.52683,                 1.3008,              0.0005744,              0.0005744,              0.0005744
                     39,                0.46864,                0.38198,                0.92305,                0.94427,                0.81818,                0.89825,                0.68272,                0.91235,                0.54713,                 1.2627,              0.0005348,              0.0005348,              0.0005348
                     40,                0.45727,                 0.3804,                0.92764,                0.90057,                0.90909,                0.91178,                0.68206,                0.99223,                0.52622,                   1.37,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.4244,                 0.3381,                0.88927,                0.81149,                0.81818,                0.82563,                0.67971,                0.84021,                0.53505,                 1.2494,              0.0004556,              0.0004556,              0.0004556
                     42,                0.40436,                0.31883,                0.87648,                0.81619,                0.81818,                0.78579,                0.63915,                0.94099,                0.55153,                  1.298,               0.000416,               0.000416,               0.000416
                     43,                0.39115,                0.31421,                0.87026,                0.90709,                0.90909,                0.91005,                0.67625,                0.96475,                0.56036,                 1.3178,              0.0003764,              0.0003764,              0.0003764
                     44,                  0.377,                0.30011,                0.87002,                0.90006,                0.90909,                0.89426,                0.69636,                0.93648,                0.59746,                 1.2909,              0.0003368,              0.0003368,              0.0003368
                     45,                0.37663,                0.29849,                0.86069,                0.89873,                0.90909,                 0.8949,                0.66924,                0.91048,                0.61574,                 1.2405,              0.0002972,              0.0002972,              0.0002972
                     46,                0.37229,                0.29782,                0.86141,                0.89405,                0.90909,                0.88561,                 0.6762,                0.88723,                0.54281,                 1.2875,              0.0002576,              0.0002576,              0.0002576
                     47,                0.35399,                0.29151,                0.85819,                0.95562,                0.81818,                0.82692,                0.67663,                0.91209,                0.53483,                 1.2247,               0.000218,               0.000218,               0.000218
                     48,                 0.3383,                0.27872,                0.85368,                 0.9968,                0.90909,                 0.9149,                0.68999,                 0.8563,                0.49206,                 1.2079,              0.0001784,              0.0001784,              0.0001784
                     49,                0.34981,                0.28097,                0.85281,                      1,                0.90864,                0.91471,                0.70064,                0.90216,                0.49717,                 1.2578,              0.0001388,              0.0001388,              0.0001388
                     50,                0.34305,                0.27432,                0.85232,                 0.8762,                0.81818,                0.81239,                0.68772,                0.98895,                0.52058,                 1.3527,               9.92e-05,               9.92e-05,               9.92e-05
