                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.37931,                0.46219,                0.96809,                 0.6939,                    0.5,                0.52515,                 0.3785,                 1.1397,                 1.2603,                 1.7475,              0.0006932,              0.0006932,              0.0006932
                     35,                0.35097,                0.43233,                0.98296,                0.71303,                0.49736,                0.56673,                0.33715,                 1.4565,                 1.3913,                 2.2093,              0.0006536,              0.0006536,              0.0006536
                     36,                0.35664,                0.44458,                0.98773,                0.74309,                0.58064,                0.65202,                0.38067,                 1.3045,                 1.2072,                 2.2296,               0.000614,               0.000614,               0.000614
                     37,                0.33436,                0.42299,                0.97192,                0.76597,                    0.7,                 0.7045,                 0.3569,                 1.4245,                 1.0149,                 2.2554,              0.0005744,              0.0005744,              0.0005744
                     38,                0.34081,                0.41071,                0.95863,                0.98385,                    0.7,                0.76947,                0.40062,                 1.2526,                0.95384,                 2.0437,              0.0005348,              0.0005348,              0.0005348
                     39,                0.30882,                0.39302,                0.96759,                0.69397,                    0.7,                 0.6917,                0.47765,                0.97045,                0.80561,                 1.8358,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.2539,                0.44215,                0.90828,                 0.7433,                    0.7,                0.73242,                0.51134,                0.94912,                0.79234,                 1.8061,              0.0004556,              0.0004556,              0.0004556
                     41,                0.24959,                0.43913,                0.90591,                0.71685,                0.76179,                0.72726,                0.53951,                0.92468,                0.83531,                 1.6575,               0.000416,               0.000416,               0.000416
                     42,                0.23044,                0.35848,                0.87694,                0.87311,                0.68941,                0.75634,                0.56198,                0.83916,                0.70175,                 1.5475,              0.0003764,              0.0003764,              0.0003764
                     43,                0.21908,                0.35569,                0.88829,                0.75785,                    0.7,                0.73545,                0.51066,                0.92734,                 0.8149,                 1.6411,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.2176,                0.35856,                 0.8698,                0.77658,                0.69568,                0.72643,                0.53932,                 0.9305,                0.92405,                 1.5706,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.2183,                0.32009,                0.87852,                0.87098,                0.67747,                0.72593,                0.52486,                0.94456,                0.98977,                  1.642,              0.0002576,              0.0002576,              0.0002576
                     46,                0.19392,                0.29039,                0.86679,                0.74259,                    0.6,                0.62012,                 0.4842,                0.86803,                 1.0192,                 1.5751,               0.000218,               0.000218,               0.000218
                     47,                0.20499,                0.33079,                0.86254,                0.73393,                    0.6,                0.59145,                0.45333,                0.91998,                 1.0582,                  1.636,              0.0001784,              0.0001784,              0.0001784
                     48,                0.19252,                0.29993,                0.87283,                0.57286,                0.53893,                0.56884,                0.44832,                0.95525,                 1.1201,                 1.6642,              0.0001388,              0.0001388,              0.0001388
                     49,                0.18354,                0.27594,                0.86099,                0.61132,                0.63113,                0.57967,                0.45412,                0.98839,                0.99979,                 1.6775,               9.92e-05,               9.92e-05,               9.92e-05
