234, 310, 240, 341, 321, 320, 308, 289, 1
327, 567, 367, 649, 502, 592, 453, 525, 2
363, 653, 413, 720, 571, 683, 508, 593, 3
304, 499, 326, 558, 447, 517, 414, 458, 4
280, 437, 298, 488, 411, 451, 381, 398, 5
253, 386, 274, 430, 375, 394, 348, 353, 6
243, 345, 252, 380, 345, 349, 329, 323, 7
664, 693, 718, 720, 867, 696, 777, 612, 8
583, 617, 657, 687, 769, 607, 696, 536, 9
524, 538, 582, 607, 688, 529, 619, 463, 10
471, 470, 518, 525, 615, 451, 561, 401, 11
426, 412, 463, 458, 551, 396, 507, 354, 12
394, 363, 421, 403, 505, 351, 473, 317, 13
368, 329, 390, 356, 466, 312, 439, 283, 14
338, 293, 363, 322, 427, 283, 402, 253, 15
442, 277, 470, 306, 526, 258, 496, 235, 16
474, 309, 501, 336, 559, 283, 531, 258, 17
507, 341, 539, 374, 603, 315, 562, 286, 18
545, 376, 595, 423, 661, 360, 605, 317, 19
600, 427, 648, 475, 730, 402, 670, 362, 20
653, 482, 714, 531, 790, 449, 731, 408, 21
719, 539, 793, 600, 874, 520, 797, 454, 22
804, 606, 885, 678, 968, 598, 880, 523, 23
