233, 260, 301, 340
322, 495, 478, 644
382, 580, 568, 719
302, 421, 438, 540
287, 369, 390, 476
252, 327, 341, 426
244, 293, 331, 378
674, 595, 861, 719
583, 521, 764, 681
519, 446, 682, 589
465, 389, 604, 516
425, 343, 546, 448
397, 307, 499, 399
367, 269, 460, 351
339, 242, 413, 319
440, 228, 509, 298
470, 246, 552, 319
503, 277, 593, 364
541, 309, 658, 411
592, 352, 720, 458
657, 397, 785, 516
726, 442, 866, 575
818, 513, 968, 670
928, 457, 1044, 585
854, 407, 971, 528
777, 360, 883, 471
706, 321, 817, 428
651, 285, 754, 380
592, 259, 693, 342
552, 235, 636, 311
531, 208, 605, 266
1011, 408, 1101, 520
945, 375, 1038, 470
870, 334, 976, 429
806, 298, 905, 388
758, 272, 845, 352
705, 248, 786, 323
659, 224, 739, 298
620, 199, 693, 261
1060, 371, 1134, 469
999, 336, 1076, 427
941, 311, 1021, 387
886, 275, 964, 355
834, 254, 910, 328
785, 232, 850, 300
743, 214, 807, 273
704, 198, 768, 250
767, 187, 824, 247
811, 209, 866, 265
852, 223, 908, 283
895, 246, 961, 308
941, 268, 1010, 330
996, 292, 1066, 362
1051, 321, 1115, 393
1101, 345, 1164, 427
1126, 326, 1180, 402
1078, 301, 1136, 365
1038, 277, 1086, 333
985, 256, 1046, 313
940, 235, 996, 286
897, 216, 953, 266
855, 199, 909, 249
813, 181, 869, 226
859, 181, 910, 231
895, 197, 945, 244
934, 211, 982, 257
973, 229, 1028, 278
1018, 248, 1068, 295
1061, 268, 1109, 325
1107, 290, 1154, 347
1148, 314, 1196, 381
1170, 301, 1207, 364
1136, 279, 1173, 338
1095, 263, 1134, 307
1055, 244, 1098, 284
1016, 227, 1061, 273
981, 211, 1021, 247
